seq=179,	ch0= 245,	ch1= 116,	ch2= 835,	ch3= 325,	ch4=   0,	ch5= 441,	time=1728462775433275,	delta=841,	
seq=180,	ch0= 144,	ch1= 212,	ch2= 856,	ch3= 263,	ch4=   1,	ch5= 484,	time=1728462775434117,	delta=842,	
seq=181,	ch0=  58,	ch1= 312,	ch2= 833,	ch3= 203,	ch4=  54,	ch5= 526,	time=1728462775434959,	delta=842,	
seq=182,	ch0=   4,	ch1= 420,	ch2= 767,	ch3= 130,	ch4= 109,	ch5= 544,	time=1728462775435801,	delta=842,	
seq=183,	ch0=   0,	ch1= 532,	ch2= 697,	ch3=  66,	ch4= 170,	ch5= 532,	time=1728462775436642,	delta=841,	
seq=184,	ch0=   0,	ch1= 630,	ch2= 581,	ch3=  13,	ch4= 237,	ch5= 493,	time=1728462775437483,	delta=841,	
seq=185,	ch0=   0,	ch1= 704,	ch2= 469,	ch3=   0,	ch4= 290,	ch5= 452,	time=1728462775438324,	delta=841,	
seq=186,	ch0=  45,	ch1= 757,	ch2= 370,	ch3=   0,	ch4= 340,	ch5= 389,	time=1728462775439165,	delta=841,	
seq=187,	ch0= 130,	ch1= 786,	ch2= 260,	ch3=   0,	ch4= 398,	ch5= 330,	time=1728462775440007,	delta=842,	
seq=188,	ch0= 201,	ch1= 775,	ch2= 159,	ch3=   0,	ch4= 378,	ch5= 249,	time=1728462775440848,	delta=841,	
seq=189,	ch0= 413,	ch1= 780,	ch2= 114,	ch3=  50,	ch4= 418,	ch5= 192,	time=1728462775441690,	delta=842,	
seq=190,	ch0= 322,	ch1= 718,	ch2=   0,	ch3= 168,	ch4= 442,	ch5= 138,	time=1728462775442532,	delta=842,	
seq=191,	ch0= 523,	ch1= 664,	ch2=   0,	ch3= 162,	ch4= 448,	ch5=  68,	time=1728462775443374,	delta=842,	
seq=192,	ch0= 618,	ch1= 559,	ch2=   0,	ch3= 234,	ch4= 405,	ch5=  17,	time=1728462775444221,	delta=847,	
seq=193,	ch0= 697,	ch1= 457,	ch2=   0,	ch3= 306,	ch4= 362,	ch5=   0,	time=1728462775445062,	delta=841,	
seq=194,	ch0= 754,	ch1= 350,	ch2=  53,	ch3= 370,	ch4= 302,	ch5=   0,	time=1728462775445903,	delta=841,	
seq=195,	ch0= 781,	ch1= 245,	ch2= 138,	ch3= 431,	ch4= 250,	ch5=   0,	time=1728462775446744,	delta=841,	
