seq=169,	ch0= 192,	ch1=1637,	ch2= 546,	ch3=  87,	ch4=  75,	ch5= 121,	time=1728462964693783,	delta=842,	
seq=170,	ch0= 431,	ch1=1637,	ch2= 327,	ch3= 117,	ch4=  67,	ch5=  81,	time=1728462964694625,	delta=842,	
seq=171,	ch0= 637,	ch1=1589,	ch2= 158,	ch3= 117,	ch4=  73,	ch5=  82,	time=1728462964695467,	delta=842,	
seq=172,	ch0= 855,	ch1=1484,	ch2=  25,	ch3= 117,	ch4=  74,	ch5=  77,	time=1728462964696309,	delta=842,	
seq=173,	ch0=1058,	ch1=1344,	ch2=   2,	ch3= 114,	ch4=  64,	ch5=  87,	time=1728462964697151,	delta=842,	
seq=174,	ch0=1253,	ch1=1155,	ch2=   0,	ch3= 109,	ch4=  72,	ch5=  88,	time=1728462964697992,	delta=841,	
seq=175,	ch0=1412,	ch1=1028,	ch2=  10,	ch3= 122,	ch4=  71,	ch5=  66,	time=1728462964698833,	delta=841,	
seq=176,	ch0=1517,	ch1= 709,	ch2= 128,	ch3= 114,	ch4= 141,	ch5=  79,	time=1728462964699693,	delta=860,	
seq=177,	ch0=1588,	ch1= 498,	ch2= 279,	ch3= 114,	ch4= 107,	ch5=  77,	time=1728462964700535,	delta=842,	
seq=178,	ch0=1592,	ch1= 309,	ch2= 490,	ch3= 110,	ch4=  58,	ch5=  81,	time=1728462964701377,	delta=842,	
seq=179,	ch0=1598,	ch1= 149,	ch2= 706,	ch3= 113,	ch4=  56,	ch5=  73,	time=1728462964702219,	delta=842,	
seq=180,	ch0=1338,	ch1=  20,	ch2= 990,	ch3= 173,	ch4=  66,	ch5= 103,	time=1728462964703061,	delta=842,	
seq=181,	ch0=1213,	ch1=   2,	ch2=1161,	ch3=  47,	ch4=  73,	ch5=  66,	time=1728462964703903,	delta=842,	
seq=182,	ch0=1088,	ch1=   0,	ch2=1361,	ch3= 117,	ch4=  77,	ch5=  79,	time=1728462964704744,	delta=841,	
seq=183,	ch0= 891,	ch1=  16,	ch2=1538,	ch3= 129,	ch4=  77,	ch5=  81,	time=1728462964705586,	delta=842,	
seq=184,	ch0= 654,	ch1= 127,	ch2=1655,	ch3= 133,	ch4=  77,	ch5=  74,	time=1728462964706428,	delta=842,	
seq=185,	ch0= 455,	ch1= 279,	ch2=1714,	ch3= 127,	ch4=  74,	ch5=  83,	time=1728462964707270,	delta=842,	
seq=186,	ch0= 266,	ch1= 478,	ch2=1730,	ch3= 125,	ch4=  75,	ch5=  85,	time=1728462964708112,	delta=842,	
seq=187,	ch0= 122,	ch1= 701,	ch2=1652,	ch3= 119,	ch4=  69,	ch5=  69,	time=1728462964708954,	delta=842,	
seq=188,	ch0=   7,	ch1= 905,	ch2=1525,	ch3= 133,	ch4=  82,	ch5=  73,	time=1728462964709796,	delta=842,	
seq=189,	ch0=   0,	ch1=1111,	ch2=1369,	ch3= 129,	ch4=  74,	ch5=  75,	time=1728462964710638,	delta=842,	
seq=190,	ch0=   0,	ch1=1282,	ch2=1155,	ch3= 133,	ch4=  85,	ch5=  74,	time=1728462964711479,	delta=841,	
seq=191,	ch0=  21,	ch1=1402,	ch2= 924,	ch3= 128,	ch4= 106,	ch5=  73,	time=1728462964712320,	delta=841,	
seq=192,	ch0= 145,	ch1=1525,	ch2= 688,	ch3= 101,	ch4=   4,	ch5=  64,	time=1728462964713161,	delta=841,	
seq=193,	ch0= 373,	ch1=1632,	ch2= 532,	ch3= 128,	ch4=  53,	ch5=  85,	time=1728462964714003,	delta=842,	
seq=194,	ch0= 490,	ch1=1624,	ch2= 281,	ch3= 122,	ch4=  85,	ch5=  79,	time=1728462964714845,	delta=842,	
seq=195,	ch0= 692,	ch1=1568,	ch2= 117,	ch3= 112,	ch4=  69,	ch5=  84,	time=1728462964715687,	delta=842,	
