seq=130,	ch0=   0,	ch1= 682,	ch2= 520,	ch3=   0,	ch4= 263,	ch5= 178,	time=1728462666250258,	delta=841,	
seq=131,	ch0=  34,	ch1= 757,	ch2= 401,	ch3=  21,	ch4= 293,	ch5= 121,	time=1728462666251099,	delta=841,	
seq=132,	ch0=  98,	ch1= 766,	ch2= 274,	ch3=  44,	ch4= 297,	ch5=  85,	time=1728462666251940,	delta=841,	
seq=133,	ch0= 192,	ch1= 802,	ch2= 166,	ch3=  91,	ch4= 295,	ch5=  43,	time=1728462666252781,	delta=841,	
seq=134,	ch0= 288,	ch1= 788,	ch2=  84,	ch3= 130,	ch4= 250,	ch5=   9,	time=1728462666253622,	delta=841,	
seq=135,	ch0= 407,	ch1= 720,	ch2=  21,	ch3= 161,	ch4= 199,	ch5=   0,	time=1728462666254463,	delta=841,	
seq=136,	ch0= 604,	ch1= 661,	ch2=   0,	ch3= 221,	ch4= 177,	ch5=   0,	time=1728462666255304,	delta=841,	
seq=137,	ch0= 737,	ch1= 570,	ch2=  36,	ch3= 277,	ch4= 146,	ch5=   0,	time=1728462666256145,	delta=841,	
seq=138,	ch0= 682,	ch1= 485,	ch2=   0,	ch3= 281,	ch4= 133,	ch5=   0,	time=1728462666256986,	delta=841,	
seq=139,	ch0= 746,	ch1= 377,	ch2=  36,	ch3= 312,	ch4=  96,	ch5=  16,	time=1728462666257827,	delta=841,	
seq=140,	ch0= 779,	ch1= 266,	ch2= 109,	ch3= 326,	ch4=  50,	ch5=  42,	time=1728462666258668,	delta=841,	
seq=141,	ch0= 791,	ch1= 173,	ch2= 213,	ch3= 331,	ch4=  25,	ch5=  87,	time=1728462666259509,	delta=841,	
seq=142,	ch0= 765,	ch1=  87,	ch2= 314,	ch3= 320,	ch4=   1,	ch5= 149,	time=1728462666260350,	delta=841,	
seq=143,	ch0= 696,	ch1=   9,	ch2= 434,	ch3= 277,	ch4=   0,	ch5= 194,	time=1728462666261191,	delta=841,	
seq=144,	ch0= 622,	ch1=   0,	ch2= 549,	ch3= 251,	ch4=   0,	ch5= 242,	time=1728462666262040,	delta=849,	
seq=145,	ch0= 537,	ch1=   0,	ch2= 649,	ch3= 210,	ch4=   0,	ch5= 281,	time=1728462666262881,	delta=841,	
seq=146,	ch0= 441,	ch1=   0,	ch2= 737,	ch3= 165,	ch4=   0,	ch5= 320,	time=1728462666263721,	delta=840,	
seq=147,	ch0= 308,	ch1=  37,	ch2= 805,	ch3=  94,	ch4=  18,	ch5= 364,	time=1728462666264562,	delta=841,	
seq=148,	ch0= 224,	ch1= 161,	ch2= 850,	ch3=  65,	ch4=  50,	ch5= 331,	time=1728462666265403,	delta=841,	
seq=149,	ch0= 126,	ch1= 182,	ch2= 952,	ch3=  32,	ch4= 122,	ch5= 357,	time=1728462666266245,	delta=842,	
seq=150,	ch0=  58,	ch1= 309,	ch2= 825,	ch3=   6,	ch4= 129,	ch5= 325,	time=1728462666267087,	delta=842,	
seq=151,	ch0=   7,	ch1= 421,	ch2= 783,	ch3=   0,	ch4= 177,	ch5= 299,	time=1728462666267928,	delta=841,	
seq=152,	ch0=   0,	ch1= 533,	ch2= 700,	ch3=   0,	ch4= 210,	ch5= 260,	time=1728462666268769,	delta=841,	
seq=153,	ch0=   0,	ch1= 626,	ch2= 596,	ch3=   0,	ch4= 240,	ch5= 213,	time=1728462666269610,	delta=841,	
seq=154,	ch0=   0,	ch1= 716,	ch2= 493,	ch3=   0,	ch4= 269,	ch5= 178,	time=1728462666270450,	delta=840,	
seq=155,	ch0=  46,	ch1= 770,	ch2= 356,	ch3=  13,	ch4= 292,	ch5= 111,	time=1728462666271291,	delta=841,	
seq=156,	ch0= 137,	ch1= 803,	ch2= 244,	ch3=  48,	ch4= 285,	ch5=  55,	time=1728462666272132,	delta=841,	
seq=157,	ch0= 215,	ch1= 815,	ch2= 160,	ch3=  98,	ch4= 290,	ch5=  26,	time=1728462666272973,	delta=841,	
seq=158,	ch0= 303,	ch1= 783,	ch2=  74,	ch3= 143,	ch4= 273,	ch5=   2,	time=1728462666273814,	delta=841,	
seq=159,	ch0= 452,	ch1= 801,	ch2=   1,	ch3= 197,	ch4= 250,	ch5=   0,	time=1728462666274655,	delta=841,	
